,href_to_journal
49,publication/327185733_Charting_the_speaker-relatedness_of_impersonal_pronouns_Contrastive_evidence_from_English_French_and_Thai?_sg=5Qz76w3tutOG3oj1aE39XGpTt8cO-szZa-tRh_ac3KYaygBXlg3iWgTEhXYx4L66G9U3yZ0SC_FSOho
50,
51,
52,
53,publication/323582997_Factors_Associated_With_Knowledge_Perception_And_Practice_Toward_Self-Care_Among_Elderly_Patients_Suffering_From_Type_2_Diabetes_Mellitus_In_Rural_Thailand?_sg=5WqlkwHoJXyVRISW6o64JajjSEU44upaa9Co9K181hV4HLfVsqxrB63lqBCYh3JVdNGD6wQz2DqckrE
54,publication/324075416_Cross-border_power_trade_with_Myanmar_barriers_and_their_removal_from_the_Thai%27s_perspective?_sg=60GxpduBGfhrGd1gY6BrYxTDJIydMmWiV85kNLK68m2dhA_3DATHSnDc6Z2ERyKR04jGNLvGwfvT0Ms
55,publication/385094172_Preface_3rd_International_Humanitarian_Conference?_sg=523T3dPL2BETfdFxKtHGIXbJ1j9XZu2b7y9T-oW9luGSd7I9q4xRGfoXnxqofGCTtbHVPfY8IHMLRGw
56,publication/385094172_Preface_3rd_International_Humanitarian_Conference?_sg=Z8Pnv9PrPMGViOOYrr_n0RbzDhsbHNYM2AejKjFBZLSk5NuEhKCGiWwcQZ5olo6O-O2gPSdaP4kBp20
57,publication/322275727_Correction_to_Enzyme-linked_immunosorbent_assay_for_the_quantitativequalitative_analysis_of_plant_secondary_metabolites?_sg=uagZBQTZN0aredC_O_RL-QzrZJdR1Cum2shKjIovSFeeApAEY0VHF21YjKsGW_tqP8OW7ddyIWjfsEE
58,publication/337832826_Publisher_Correction_Atomistic_mechanisms_underlying_the_activation_of_the_G_protein-coupled_sweet_receptor_heterodimer_by_sugar_alcohol_recognition?_sg=cGmC2Vg4jKGaXzCawLpQqFek13D5xhr3QfGpmy5i5S2DdirmqoG9CF6Ysw_t34fx5H3pyOLPfXU-p9M
59,
60,publication/326671833_Regional_variation_in_the_treatment_and_prevention_of_peritoneal_dialysis-related_infections_in_the_Peritoneal_Dialysis_Outcomes_and_Practice_Patterns_Study?_sg=g9NmiCqSB-xvO_iCEBlc7U77wb6gzcWH63Q0fF2yAUyDRVmxPbCH9Hj6c1DnTPXr5Lcim_KKUvjRoLs
61,publication/336229119_Answer_to_the_Letter_to_the_Editor_of_V_Kumar_et_al_concerning_Can_standard_anterior_Smith-Robinson_supramanubrial_approach_be_utilized_for_approach_down_to_T2_or_T3_by_Singhatanadgige_W_Zebala_LP_Luk?_sg=Hl8vVz2-DxzesBbMtO-_zpJOsUfPYFb9uGO1FlgVqqq9FvOd4ihtQ1FBkiuSZyBrvTvHmkLjyt2Vkx8
62,publication/337317521_Schizophrenia_phenomenology_comprises_a_bifactorial_general_severity_and_a_single-group_factor_which_are_differently_associated_with_neurotoxic_immune_and_immune-regulatory_pathways?_sg=PH_2wr57WMmpYEeNFeR-i5E9nhIDpMWL_GoN3UAAGkkAmm_3bCaY5hVTwpUIisCG-5_dnOeR9DvRb6s
63,
64,publication/336335934_Guest_Editorial_Selected_Papers_from_the_26_ITS_World_Congress_Singapore_2019?_sg=QcTaSb8PnvCVNBJ4UVDW2cLB9aDVv2Z5hDVvpTwqBSAxeqYHYlJ8TbkNkFHHmuT6a4e1R8tsJGawBj0
65,publication/333901441_Correlation_of_clinicopathological_characteristics_and_direct_immunofluorescence_studies_in_oral_lichenoid_lesion_in_Thai_patients?_sg=kQcZha6grTFD5fmo1d014KoN6mHe7b0-CS-xH4kfy9i6ZOfuvPw95FYA25NvJydtRC2wtrpMyu7Vuhk
66,
67,publication/337422940_Corrigendum_to_Simvastatin_enhances_proliferation_and_pluripotent_gene_expression_by_canine_bone_marrow-derived_mesenchymal_stem_cells_cBM-MSCs_in_vitro_Heliyon_5_10_October_2019_e02663?_sg=kEA7tL00KIwsvqbi1plRHqfJWuwXhAzIZOvx8e1cb7_3KX45TTKWS9fNQm9M4WOkQhdsBQ0joCytYpk
68,publication/337029424_Proton_pump_inhibitors_and_hypomagnesemia_A_meta-analysis_of_observational_studies?_sg=f8Fd6fTtMEtZLxuZFI5rMO7MHandEzr9_IK9lmzrgkr3oeIbLpFLeaFGKOLP9VY94nPl_OSfKOnFrSQ
69,
70,publication/336364795_Correction_to_Acute-on-chronic_liver_failure_consensus_recommendations_of_the_Asian_Pacific_association_for_the_study_of_the_liver_APASL_an_update?_sg=9Kf9zfjAACLhpi-tOg_sclCxpKDDpuemQ9R_Q7xRWd3DCymiz085iU8CvFJuEuVeyLdJt6WSy0GXodU
71,publication/335987677_Mapping_and_Ablation_of_Ventricular_Fibrillation_Associated_With_Early_Repolarization_Syndrome?_sg=YezocyX_w9LT00jfA_lATh5RAEAmgGhr4YrxAdgorDwbs6N8O8FXvMjYOHcyT0X234Gm2qGqyucfT-o
72,
73,publication/336661282_Seroprevalence_of_an_antibody_against_diphtheria_tetanus_and_pertussis_among_the_elderly_in_Khon_Kaen_Thailand?_sg=1Mq3p-ykCu_vuYZOQJlv803NoOPytC7Fy2cDa4zeRmRi0-l5IEGfeY8RDcxvVizm_1kXEbuCIj4kCvU
74,
75,publication/336076573_B-lymphoblastic_leukemialymphoma_with_an_unusual_appendiceal_involvement?_sg=9fAzkwgFpsYNfzW1r0aTxDC0wYJOsQz-vWhrjnLW_X2NCHs-OA8B1H_D_MdCFCsTGPZF8JGJip32VOo
76,publication/37594120_What_do_we_really_want_a_manifesto_for_the_organizations_of_the_21st_Century?_sg=L5R4SVzg0dD1jOfECsE7i6m3qQqAmFCSINYwg0dwewjLglvxZMssxvVRNjqSsiDNeq2MXZ7DPKt8P5M
77,publication/335949263_21st_Century_era_of_anatomy?_sg=yrTcbwIw2AfwLaZfr1l5jy2hAU1Y2MeilbulwvZ6I2AkYWzoBUWDv-5I8v99S5hL_2BSi7jzjqPOXfA
78,publication/334370063_Corrigendum_to_Proteomic_identification_of_predictive_biomarkers_for_malignant_transformation_in_complete_hydatidiform_moles_Placenta_77_2019_58-64?_sg=N0oT1I3fkHHVbJcQ-KePmPEDSgwK_SWKUnhXgG3cbbMdn-FI_Dp2-Au_drEN9v1PMEoKX0HZ5S_TYvw
79,publication/335638018_Cyanidin-3-rutinoside_acts_as_a_natural_inhibitor_of_intestinal_lipid_digestion_and_absorption?_sg=pYBwHwaLrpz-3wWmryYCzMFEK_06HICd2PflolsRNtUqaYrr62nSt_6FAF2vYbeiELSCymEpvpfB-NQ
80,publication/335629871_ICAPPP_2018_Celebrating_30_Years_of_The_Petroleum_and_Petrochemical_College_PPC_at_Chulalongkorn_University?_sg=HG248XlJ1mzEf7b4NFHYhLrJNaRQ-x3Vf7Bn4r_-vbQyLvzk8T98TSPCfs77YHakwIRAefYvMPGNrYI
81,publication/333460709_Correction_to_Chemical-Looping_Combustion_of_Methane_Using_hbox_CaSO_4_CaSO_4_as_an_Oxygen_Carrier_Effects_of_MgO_Addition?_sg=E2y5gu-8noIq5Giii7NsWjrRoIO7SIUnbELcK2fbZ6Tl48TPC-EgNZB6kIyrbud_cFYoH6ks0YylssQ
82,publication/332084980_Corrigendum_to_Simplified_two-group_two-fluid_model_for_three-dimensional_two-phase_flow_computational_fluid_dynamics_for_vertical_upward_flow_Prog_Nucl_Energy_108_2018_503-516?_sg=JD84xLkmCjYohcmMZrTgyi2IZfIh2XaKCJ2hwLTtFg7CNKMRSfTuXAhxBGRoV9hnDuvQ2KM5F1J8DHY
83,publication/325741004_Preface_on_the_ISAPS_%2717_in_Warsaw?_sg=qLhABvJJOSGJPmhcyvn1OFZlPrCVr0aBg0B2h7-Q6CXMXVibrEyQOJYYDWeqPGCBHtl3E-MnOytBjMc
84,publication/335585633_Awareness_knowledge_and_practice_for_hepatitis_B_infection_in_Southeast_Asia_a_cross-sectional_study?_sg=QY1V5hK9rrX7xjBfECsJ6NidBxR5KjZLstS661QxXjIAj4S0gKSzusmV9_zvU0BneaVRIvM84Uqs42c
85,publication/334817455_Antityrosinase_Antioxidant_and_Cytotoxic_Activities_of_Phytochemical_Constituents_from_Manilkara_zapota_L_Bark?_sg=JIB--yjiMyzHyBn9N5Ff9o6mEpIIfqpKtegT4gAX6cRhBFtayRxUNr0jPncOvZtUlWkAPthcBPqfyf4
86,
87,
88,publication/332965974_Mondor%27s_disease_secondary_to_abscess_in_the_axillary_region?_sg=hSWFgAkFSivUvO5GfuQsUUnC568C6yG2oDSeStQHfRtzP18M1Hgc5g4wEz2kkSv_pCKBdjkXTlt9ric
89,
90,publication/385094172_Preface_3rd_International_Humanitarian_Conference?_sg=RAofKPbqKd7gazORc3ZcnWQ_C7E0Gn8yxUzAjJYZ6KhhCHxf2N6PtMYSGEnBPGehS2q_oPIMXxwZ91Y
91,
92,publication/333245860_Determinants_of_giving_birth_in_a_health_facility_analysis_of_three_Pakistan_demographic_health_surveys?_sg=y5uvcPFysWNZNSBdxdIm81KJKWu8iG5L6DeC47V0PooeEZYYbidGOP77RPbX91y6d1JYFPZJ6APpYEk
93,publication/332797102_Erratum_Au-catalyzed_desorption_of_GaAs_oxides_2019_Nanotechnology_30_215703?_sg=y_Eq6rltNttez8kC5Tz4uHOYEFTvf-ahkNMTKMY46GiLACFKJeDGGfPNmb64Q0O7McbA8pIMPWEdmkY
94,
95,publication/382842095_Message_from_General_Chair?_sg=YUEL--9L4RhrvNPFsM-dwo5yFFkcp62L-SoAndRzj0oJ02vT3zXWF9RXTIC7NHnPcjvfY_kgBv8L5J0
96,
97,publication/332060003_Correction_to_Genomic_analysis_of_Leptospira_interrogans_serovar_Paidjan_and_Dadas_isolates_from_carrier_dogs_and_comparative_genomic_analysis_to_detect_genes_under_positive_selection?_sg=1hA4SxWyYbOG43TiYR24XqMN9BSe0srafKVQXlL7tSAhoXF1v16Wqmqst61vQQTLSqGh_bPNoDQcHVA
98,
99,
100,publication/345999802_Gender-specific_care_matters_in_patients_with_delusional_disorder_three-_year_experience_in_an_emergency_department?_sg=mMTtAJqQKek9vfye_sNTSbK26YensWVBry5oidw33jxgAdJcSitkVUr4q-5wXMqfs4yLXpgQuwjvJFs
101,publication/329065968_Corrigendum_to_Effects_of_varying_soil_and_atmospheric_water_deficit_on_water_use_characteristics_of_tropical_street_tree_species_Urban_For_Urban_Green_36_2018_76-83?_sg=YfXdzfjrR4AE4UYKr57RSkVvbXW_KAJ0BlbcA__U3Ed7zovBx0Lzl8-zIeSAJllQdznRnVl1Zx1OnAs
102,publication/327448255_Correction_to_The_sbGnRH-GTH_system_in_the_female_short_mackerel_Rastrelliger_brachysoma_Bleeker_1851_during_breeding_season_implications_for_low_gamete_production_in_captive_broodstock?_sg=r9E8i-qlgN8JeflPtAhE-6T2Pj-cN5sn6GmxLFifX-7_tWAIwJlWKK3dVMy-fZfvOu1ugh93VZ0b9tU
103,publication/330734328_Correction_to_New_Reactive_Extraction_Based_Reclaiming_Technique_for_Amines_Used_in_Carbon_Dioxide_Capture_Process_from_Industrial_Flue_Gases?_sg=BrPO0vwfTE8xihds3JhYdnklJS_487EHShYiw-0eBj0SJUx0scJ_Z2Nj225gHo_iSpK4MFHLvcTyA28
104,
105,publication/330500013_Correction_to_Real-World_Safety_of_Intravitreal_Bevacizumab_and_Ranibizumab_Treatments_for_Retinal_Diseases_in_Thailand_A_Prospective_Observational_Study?_sg=M5UARGOEZ9sScgWuXcZ6XDkZlavzPlDRDbWqdQSxtrEFZzmErBUs6c7Pu1y3RdnKSMj_Y-EED-pf1vY
106,publication/332137572_The_Impact_of_Organization_Agility_Organization_Flexibility_and_Environmental_Volatility_on_Radical_and_Incremental_Innovation_Performance_An_Abstract?_sg=q8NiOGG5yNHYj0nQAlkQhqYpK3-_myZSULoUikfisRqANI6vMfK5xlfg50AAwhhW2zE-znUmTeh511I
107,publication/339320445_The_diversity_of_Anopheles_blood_feeding_patterns_suggests_different_malaria_protection_strategies_in_different_localities?_sg=xkxnQyWrkCqTEt4nWpQQcuFMOHe16oDFghUB5amS6mp1kHeYEEH5VfrnVHcld4VwSegL6z8H7gZdKP8
108,
109,publication/334504789_Reinventing_Vietnamese_Socialism_Doi_Moi_in_Comparative_Perspective?_sg=7dRHh6Kz6OVR7dgO8m7Sq8IYgl2J5gKBvMCZntkUSKcYctncKZWJaCP82VnqaoYWeE4--yyFdGZawDY
110,publication/364092621_Encounters_with_Svanibor_-_a_Meeting_of_Hearts_and_Minds?_sg=e3tF2ZD_AK-7SI0wziwdaUONKGl1Ixf10_JDcAJuNA_vaUlhpz3IYw123OgzLJU7uRbB6SIC_Qg7qoY
111,
112,publication/333566910_Corrigendum_to_Porcine_bile_powder_supplementation_of_a_high_fat_broiler_diet_in_relation_to_growth_performance_and_nutrient_digestion?_sg=WQ5xj_LNia3QpbTHGmJvIk7eTJGUJ67Q5_zbQWhXWorAB2t1JaYHzgLfFr2MjPVzwa6ERoN2mpQo_Cw
113,publication/336143864_Introductory_notes_for_the_Acta_IMEKO_Special_Section_on_the_Asia-Pacific_Symposium_on_Measurement_of_Mass_Force_and_Torque_APMF_2017?_sg=azisnqDxZGImTtslukfC7idg5_zOxkJvjMvN87LWw0xT0dEqTjhNvTi1B-g8AN9BwxvYenHo67Wc0gU
114,
115,
116,publication/334809706_The_menstrual_cycle_may_not_be_limited_to_the_endometrium_but_also_may_impact_gut_permeability?_sg=NYsbJBdIwvyiqCPpNkfPSisjYraLibu6LWsyFt8Vl41McrP_mf61-zdRCxIgMdNRuFSB3xJDngpMLNM
117,
118,publication/331378309_An_Outbreak_of_Peripheral_Neuropathy_in_a_Prison?_sg=LqKYBZBjqS8_M5cvBuM6O92SU5lrVdLD48IERFqo1gQCsiFWh6Es29PVd_LPZfrEBMH4r0V1MR1v0RU
119,
120,publication/329486543_Inclusion_complex_of_b-cyclo-dextrin_with_coffee_chloro-genic_acid_new_insights_from_a_combined_crystallographic_and_theoretical_study?_sg=CSr1C8SS1h6DyImdC2DfoWbI1rXySQEwifZStkCJLZ8AwTYOGY6OKYH4sS2hhtKSz-r2wIyjSLT8EAo
121,
122,publication/347452602_Dark_Matter_of_Primate_Genomes_Satellite_DNA_Repeats_and_Their_Evolutionary_Dynamics?_sg=Alfkwug-tubQEmpm8PIW-QzofsOnmDu9ANMMwxHSy9rUPQ8z3GuO8w2NfV5HohGnQIcCml9YYM8BDWM
123,
124,
125,publication/346479903_Treatment_of_Chronic_Severe_Flexion_Contractures_of_Fingers_with_Bilateral_Side-Finger_Flaps_Wing_Flaps_and_Full-Thickness_Skin_Graft?_sg=KfZTO7t7251rP0Isl-VPnaRx-cUrRzVZh7-4RXtr0J0d4RJ8VGSGD4egCDwaYtixHaP16egXMquEsHQ
126,publication/343149152_Author_Correction_Tropical_forest_soil_carbon_stocks_do_not_increase_despite_15_years_of_doubled_litter_inputs?_sg=Alzl0z7W2s5uzJMJlIaclxTf1cXcGyAhkk8sfY76gZhkplUVFyn1Bdi_pyulMCu4rKDCH-m2O16g2Zk
127,
128,publication/346731505_Corrigendum_Candida_Administration_Worsens_Cecal_Ligation_and_Puncture-Induced_Sepsis_in_Obese_Mice_Through_Gut_Dysbiosis_Enhanced_Systemic_Inflammation_Impact_of_Pathogen-Associated_Molecules_From_Gu?_sg=dBhDEYnhcr1K_ytvlPVqyoyyPfZhBK39zMrOotDAofjtvHFVeqbfzszYak5GONESBiMFFaKLB2CGXPY
129,
130,publication/345059850_Lightweight_PVIDNet_A_Priority_Vehicles_Detection_Network_Model_Based_on_Deep_Learning_for_Intelligent_Traffic_Lights?_sg=GGYYUSLUnNnkiBDJLVOMBVhzqOehnZJZ39-cBc8mx2x3OjDplIbtfPvmBJSh5XNcx3yVlDGdxurk72w
131,publication/346406179_New_Fluorene_Derivatives_from_Dendrobium_gibsonii_and_Their_a-Glucosidase_Inhibitory_Activity?_sg=H9TTMaLKhH_ZjrKZio63o5cAuepMcaVuyca19Y8sZE3w2rBOUyL4FD3iCW45qs1F0c8i_fR80yloruo
132,publication/346377226_Relapsing_polychondritis_associated_with_pauci-immune_crescentic_glomerulonephritis?_sg=0uPPGSOQEfk2DmNeS0f3F8u56VSLpfJfPgrvk3yRXNKOAGOqwXA4OBOjfx9OLJ1FmYEBhCLivWmoO1o
133,publication/346375301_Glutamate_receptor_antagonists_for_tinnitus?_sg=Gjtk5_MiVM9uMUiYRucQUUFjLMMGqmsPlauE0h26OymzaNgpqvQYsDAGbCYlTTKunAS5gxvi8XWkUV8
134,publication/342921736_Corrigendum_to_Solubility_modelling_and_solvent_effect_on_solid-liquid_equilibrium_of_22-bishydroxymethylbutyric_acid_at_different_temperatures_J_Mol_Liq_312_2020_113370?_sg=WT6qYcG2-gRyaOH9TyxZzoTMNMZ_g7zPHS3NboJI8z5nV7a2_z9ze_0v3JupID4YAxvccpHzyaI-gyI
135,
136,publication/346018942_Exciting_times_for_the_ISTH_early_career_professionals?_sg=GGWLbrXN2YTRp9zT5jgpXM8QyFGp4Pv8TP7PJn_9iL6z7S0qQz7NsGmfjX9cKulSdsDAYQxFYVsH2go
137,
138,publication/346466781_CyclinA1_Promoter_Methylation_in_Self-Sampling_Test?_sg=dA_4nJD6Kdcy7VEh2NnwGUO6EiRKgiBSqV8p83KdWiMuTH59IdUG4O2RYRH969KclgWhMijkj_DzKEc
139,publication/346457987_ASIAN_PACIFIC_SOCIETY_OF_NEPHROLOGY_CLINICAL_PRACTICE_GUIDELINE_ON_DIABETIC_KIDNEY_DISEASE_-_EXECUTIVE_SUMMARY?_sg=pq_qmuTFSrnPxyXAkzLY4qdH6kADooIiKP0Ui_W_zFwreGSd0hgy8gXy0keoByGGzFiwLJNy2Auas1o
140,publication/346057216_Diagnostic_utility_of_CT_for_suspected_immune_checkpoint_inhibitor_enterocolitis?_sg=mVicryBUZhSPAFxxgLpsogw97K_96ZOZHA3A5ueZTHgtaT7UcJu9Gyzt3QH6K3PO0mwjlT_pfSHH06M
