date_delivered_year,date_sort_year,author_group,citation_title,affiliation_country,affiliation_city,affiliation_organization,corresponding_author_given_name,corresponding_author_surname,corresponding_author_indexed_name,citation_language,source_country,source_publication_year,source_publisher_name,classificationgroup,dbcollection,ref_count,reference,affiliation,coverDate,aggregationType,author,publicationName,citedby_count,title,publisher,subject_area,abstract_language
2024,2024,Unknown,Identification and characterization of a novel upstream promoter of zebrafish p53 gene,China,Shanghai,Shanghai Ocean University,Unknown,Unknown,Tian X.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Shanghai Ocean University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",2025-12-01,Journal,Tian X.,Molecular Biology Reports,0,Identification and characterization of a novel upstream promoter of zebrafish p53 gene,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Survey sequencing and flow cytometry reveal the genomic characteristics and genetic markers of six wild sweetpotato species,China,Xuzhou,Xuzhou Institute of Agricultural Sciences in Jiangsu Xuhuai District,Unknown,Unknown,Wang Y.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Xuzhou Institute of Agricultural Sciences in Jiangsu Xuhuai District', 'affiliation-city': 'Xuzhou', 'affiliation-country': 'China'}]",2025-12-01,Journal,Wang Y.,Molecular Biology Reports,0,Survey sequencing and flow cytometry reveal the genomic characteristics and genetic markers of six wild sweetpotato species,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Leveraging next-generation sequencing technology for the study of ginsenosides biosynthesis and exploring DNA markers in the endemic species Panax vietnamensis,Viet Nam,Ho Chi Minh City,Đại học Mở Thành phố Hồ Chí Minh,Unknown,Unknown,Dang N.H.,Unknown,Viet Nam,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Đại học Mở Thành phố Hồ Chí Minh', 'affiliation-city': 'Ho Chi Minh City', 'affiliation-country': 'Viet Nam'}]",2025-12-01,Journal,Dang N.H.,Molecular Biology Reports,0,Leveraging next-generation sequencing technology for the study of ginsenosides biosynthesis and exploring DNA markers in the endemic species Panax vietnamensis,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Disulfiram Alleviates MTX-Induced Pulmonary Fibrosis by Inhibiting EMT in Type 2 Alveolar Epithelial Cells,China,Xi'an,Xi'an Medical University,Unknown,Unknown,Wu X.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': ""Xi'an Medical University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",2025-12-01,Journal,Wu X.,Lung,0,Disulfiram Alleviates MTX-Induced Pulmonary Fibrosis by Inhibiting EMT in Type 2 Alveolar Epithelial Cells,Lung,"[{'@_fa': 'true', '@code': '2740', '@abbrev': 'MEDI', '$': 'Pulmonary and Respiratory Medicine'}]",Unknown
2024,2024,Unknown,The Reparative Effect of FOXM1 in Pulmonary Disease,China,Xi'an,The First Hospital of Xian Jiaotong University,Unknown,Unknown,Chen T.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'The First Hospital of Xian Jiaotong University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",2025-12-01,Journal,Chen T.,Lung,0,The Reparative Effect of FOXM1 in Pulmonary Disease,Lung,"[{'@_fa': 'true', '@code': '2740', '@abbrev': 'MEDI', '$': 'Pulmonary and Respiratory Medicine'}]",Unknown
2024,2024,Unknown,Identification of grape H3K27 methyltransferase genes and their expression profiles during grape fruit ripening,China,Luoyang,Henan University of Science and Technology,Unknown,Unknown,Zuo D.D.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Henan University of Science and Technology', 'affiliation-city': 'Luoyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Henan Engineering Technology Research Center of Quality Regulation and Controlling of Horticultural Plants', 'affiliation-city': 'Luoyang', 'affiliation-country': 'China'}]",2025-12-01,Journal,Zuo D.D.,Molecular Biology Reports,0,Identification of grape H3K27 methyltransferase genes and their expression profiles during grape fruit ripening,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Recent Strategies and Advances in Hydrogel-Based Delivery Platforms for Bone Regeneration,China,Guangyuan,Guangyuan Central Hospital,Unknown,Unknown,Wang X.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Guangyuan Central Hospital', 'affiliation-city': 'Guangyuan', 'affiliation-country': 'China'}]",2025-12-01,Journal,Wang X.,Nano-Micro Letters,0,Recent Strategies and Advances in Hydrogel-Based Delivery Platforms for Bone Regeneration,Nano-Micro Letters,"[{'@_fa': 'true', '@code': '2504', '@abbrev': 'MATE', '$': 'Electronic, Optical and Magnetic Materials'}, {'@_fa': 'true', '@code': '2508', '@abbrev': 'MATE', '$': 'Surfaces, Coatings and Films'}, {'@_fa': 'true', '@code': '2208', '@abbrev': 'ENGI', '$': 'Electrical and Electronic Engineering'}]",Unknown
2024,2024,Unknown,Fission yeast Bsd1 is required for ER stress response in Ire1 independent manner,India,Ghaziabad,Academy of Scientific and Innovative Research (AcSIR),Unknown,Unknown,Mahapatra P.P.,Unknown,India,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Academy of Scientific and Innovative Research (AcSIR)', 'affiliation-city': 'Ghaziabad', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Central Drug Research Institute India', 'affiliation-city': 'Lucknow', 'affiliation-country': 'India'}]",2025-12-01,Journal,Mahapatra P.P.,Molecular Biology Reports,0,Fission yeast Bsd1 is required for ER stress response in Ire1 independent manner,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Advances in the Development of Gradient Scaffolds Made of Nano-Micromaterials for Musculoskeletal Tissue Regeneration,China,Beijing,Beijing University of Chemical Technology,Unknown,Unknown,Fang L.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Beijing University of Chemical Technology', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",2025-12-01,Journal,Fang L.,Nano-Micro Letters,0,Advances in the Development of Gradient Scaffolds Made of Nano-Micromaterials for Musculoskeletal Tissue Regeneration,Nano-Micro Letters,"[{'@_fa': 'true', '@code': '2504', '@abbrev': 'MATE', '$': 'Electronic, Optical and Magnetic Materials'}, {'@_fa': 'true', '@code': '2508', '@abbrev': 'MATE', '$': 'Surfaces, Coatings and Films'}, {'@_fa': 'true', '@code': '2208', '@abbrev': 'ENGI', '$': 'Electrical and Electronic Engineering'}]",Unknown
2024,2024,Unknown,In Silico Genome-wide Identification and Expression Analysis of the Pin-2 Serine Protease Inhibitor Gene Family in Eggplant (Solanum melongena L.),Philippines,Los Banos,University of the Philippines Los Banos,Unknown,Unknown,Layos A.J.G.,Unknown,Philippines,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'University of the Philippines Los Banos', 'affiliation-city': 'Los Banos', 'affiliation-country': 'Philippines'}]",2025-12-01,Journal,Layos A.J.G.,Tropical Plant Biology,0,In Silico Genome-wide Identification and Expression Analysis of the Pin-2 Serine Protease Inhibitor Gene Family in Eggplant (Solanum melongena L.),Tropical Plant Biology,"[{'@_fa': 'true', '@code': '1110', '@abbrev': 'AGRI', '$': 'Plant Science'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Hodgkin lymphoma: the role of EBV plasma viral load testing in an HIV-endemic setting,South Africa,Observatory,Groote Schuur Hospital,Unknown,Unknown,Opie J.,Unknown,South Africa,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Groote Schuur Hospital', 'affiliation-city': 'Observatory', 'affiliation-country': 'South Africa'}]",2025-12-01,Journal,Opie J.,Clinical and Experimental Medicine,0,Hodgkin lymphoma: the role of EBV plasma viral load testing in an HIV-endemic setting,Clinical and Experimental Medicine,"[{'@_fa': 'true', '@code': '1300', '@abbrev': 'BIOC', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@_fa': 'true', '@code': '2700', '@abbrev': 'MEDI', '$': 'Medicine (all)'}]",Unknown
2024,2024,Unknown,Identifying hub genes and key functional modules in leaf tissue of Populus species based on WGCNA,China,Nanjing,Nanjing Forestry University,Unknown,Unknown,Zhang H.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Nanjing Forestry University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",2025-12-01,Journal,Zhang H.,Genetica,0,Identifying hub genes and key functional modules in leaf tissue of Populus species based on WGCNA,Genetica,"[{'@_fa': 'true', '@code': '1109', '@abbrev': 'AGRI', '$': 'Insect Science'}, {'@_fa': 'true', '@code': '1103', '@abbrev': 'AGRI', '$': 'Animal Science and Zoology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}, {'@_fa': 'true', '@code': '1110', '@abbrev': 'AGRI', '$': 'Plant Science'}]",Unknown
2024,2024,Unknown,Mesenchymal stem cells and mesenchymal stem cell-derived exosomes: attractive therapeutic approaches for female reproductive dysfunction,Turkey,Famagusta,Eastern Mediterranean University (EMU) Famagusta,Unknown,Unknown,Hassanpour Khodaei S.,Unknown,Turkey,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Eastern Mediterranean University (EMU) Famagusta', 'affiliation-city': 'Famagusta', 'affiliation-country': 'Turkey'}]",2025-12-01,Journal,Hassanpour Khodaei S.,Molecular Biology Reports,0,Mesenchymal stem cells and mesenchymal stem cell-derived exosomes: attractive therapeutic approaches for female reproductive dysfunction,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,The role of the mucosal barrier system in maintaining gut symbiosis to prevent intestinal inflammation,Japan,Suita,Graduate School of Medicine,Unknown,Unknown,Okumura R.,Unknown,Japan,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Graduate School of Medicine', 'affiliation-city': 'Suita', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'WPI Immunology Frontier Research Center, Osaka University', 'affiliation-city': 'Suita', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'Osaka University', 'affiliation-city': 'Suita', 'affiliation-country': 'Japan'}]",2025-12-01,Journal,Okumura R.,Seminars in Immunopathology,0,The role of the mucosal barrier system in maintaining gut symbiosis to prevent intestinal inflammation,Seminars in Immunopathology,"[{'@_fa': 'true', '@code': '2723', '@abbrev': 'MEDI', '$': 'Immunology and Allergy'}, {'@_fa': 'true', '@code': '2403', '@abbrev': 'IMMU', '$': 'Immunology'}]",Unknown
2024,2024,Unknown,Fabrication of curcumin-incorporated human amniotic membrane extracellular matrix-derived scaffold to enhance full-thickness wound healing in diabetic rats,Iran,Tehran,SBUMS School of Medicine,Unknown,Unknown,Moharrami Kasmaie F.,Unknown,Iran,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'SBUMS School of Medicine', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}]",2025-12-01,Journal,Moharrami Kasmaie F.,Histochemistry and Cell Biology,0,Fabrication of curcumin-incorporated human amniotic membrane extracellular matrix-derived scaffold to enhance full-thickness wound healing in diabetic rats,Histochemistry and Cell Biology,"[{'@_fa': 'true', '@code': '2722', '@abbrev': 'MEDI', '$': 'Histology'}, {'@_fa': 'true', '@code': '1307', '@abbrev': 'BIOC', '$': 'Cell Biology'}, {'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '3607', '@abbrev': 'HEAL', '$': 'Medical Laboratory Technology'}]",Unknown
2024,2024,Unknown,Analysis of Alzheimer’s disease associated deleterious non-synonymous single nucleotide polymorphisms and their impacts on protein structure and function by performing in-silico methods,Turkey,Istanbul,University of Health Sciences,Unknown,Unknown,Akcesme B.,Unknown,Turkey,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'University of Health Sciences', 'affiliation-city': 'Istanbul', 'affiliation-country': 'Turkey'}, {'@_fa': 'true', 'affilname': 'International University of Sarajevo', 'affiliation-city': 'Sarajevo', 'affiliation-country': 'Bosnia and Herzegovina'}]",2025-12-01,Journal,Akcesme B.,Neurogenetics,0,Analysis of Alzheimer’s disease associated deleterious non-synonymous single nucleotide polymorphisms and their impacts on protein structure and function by performing in-silico methods,Neurogenetics,"[{'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}, {'@_fa': 'true', '@code': '2804', '@abbrev': 'NEUR', '$': 'Cellular and Molecular Neuroscience'}, {'@_fa': 'true', '@code': '2716', '@abbrev': 'MEDI', '$': 'Genetics (clinical)'}]",Unknown
2024,2024,Unknown,A Fully-Printed Wearable Bandage-Based Electrochemical Sensor with pH Correction for Wound Infection Monitoring,Thailand,Hatyai,Prince of Songkla University,Unknown,Unknown,Kaewpradub K.,Unknown,Thailand,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Prince of Songkla University', 'affiliation-city': 'Hatyai', 'affiliation-country': 'Thailand'}]",2025-12-01,Journal,Kaewpradub K.,Nano-Micro Letters,0,A Fully-Printed Wearable Bandage-Based Electrochemical Sensor with pH Correction for Wound Infection Monitoring,Nano-Micro Letters,"[{'@_fa': 'true', '@code': '2504', '@abbrev': 'MATE', '$': 'Electronic, Optical and Magnetic Materials'}, {'@_fa': 'true', '@code': '2508', '@abbrev': 'MATE', '$': 'Surfaces, Coatings and Films'}, {'@_fa': 'true', '@code': '2208', '@abbrev': 'ENGI', '$': 'Electrical and Electronic Engineering'}]",Unknown
2024,2024,Unknown,Causal relationship between circulating plasma lipids and atopic dermatitis risk: potential drug targets and therapeutic strategies,China,Kunming,Kunming Medical University,Unknown,Unknown,He A.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Kunming Medical University', 'affiliation-city': 'Kunming', 'affiliation-country': 'China'}]",2025-12-01,Journal,He A.,Archives of Dermatological Research,0,Causal relationship between circulating plasma lipids and atopic dermatitis risk: potential drug targets and therapeutic strategies,Archives of Dermatological Research,"[{'@_fa': 'true', '@code': '2708', '@abbrev': 'MEDI', '$': 'Dermatology'}]",Unknown
2024,2024,Unknown,Cytotoxic activity of silver nanoparticles prepared by eco-friendly synthesis using Lythrum salicaria extract on breast cancer cells,Iran,Tehran,"Islamic Azad University, Central Tehran Branch",Unknown,Unknown,Shandiz S.A.S.,Unknown,Iran,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Islamic Azad University, Central Tehran Branch', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}]",2025-12-01,Journal,Shandiz S.A.S.,Molecular Biology Reports,0,Cytotoxic activity of silver nanoparticles prepared by eco-friendly synthesis using Lythrum salicaria extract on breast cancer cells,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Olfactory Dysfunction in Chronic Rhinosinusitis with Nasal Polyps: Effect of Treatment with Emphasis on Biological Therapy,Netherlands,Amsterdam,Universiteit van Amsterdam,Unknown,Unknown,Otten J.J.,Unknown,Netherlands,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Universiteit van Amsterdam', 'affiliation-city': 'Amsterdam', 'affiliation-country': 'Netherlands'}]",2025-12-01,Journal,Otten J.J.,Current Allergy and Asthma Reports,0,Olfactory Dysfunction in Chronic Rhinosinusitis with Nasal Polyps: Effect of Treatment with Emphasis on Biological Therapy,Current Allergy and Asthma Reports,"[{'@_fa': 'true', '@code': '2403', '@abbrev': 'IMMU', '$': 'Immunology'}, {'@_fa': 'true', '@code': '2723', '@abbrev': 'MEDI', '$': 'Immunology and Allergy'}, {'@_fa': 'true', '@code': '2740', '@abbrev': 'MEDI', '$': 'Pulmonary and Respiratory Medicine'}]",Unknown
2024,2024,Unknown,PD-L1 expression and characterization of its carrier macrophages in placentas with acute and specifically post-SARS-CoV-2 infection,Germany,Augsburg,Universität Augsburg,Unknown,Unknown,Seefried M.C.,Unknown,Germany,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Universität Augsburg', 'affiliation-city': 'Augsburg', 'affiliation-country': 'Germany'}]",2025-12-01,Journal,Seefried M.C.,Histochemistry and Cell Biology,0,PD-L1 expression and characterization of its carrier macrophages in placentas with acute and specifically post-SARS-CoV-2 infection,Histochemistry and Cell Biology,"[{'@_fa': 'true', '@code': '2722', '@abbrev': 'MEDI', '$': 'Histology'}, {'@_fa': 'true', '@code': '1307', '@abbrev': 'BIOC', '$': 'Cell Biology'}, {'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '3607', '@abbrev': 'HEAL', '$': 'Medical Laboratory Technology'}]",Unknown
