,references_count,citations_count,title,author,doi
10,26.0,16.0,Physician professionalism: definition from a generation perspective,"[{'ce:given-name': 'Wirachin', 'preferred-name': {'ce:given-name': 'Wirachin', 'ce:initials': 'W.', 'ce:surname': 'Hoonpongsimanont', 'ce:indexed-name': 'Hoonpongsimanont W.'}, '@seq': '1', 'ce:initials': 'W.', '@_fa': 'true', 'affiliation': {'@id': '60142558', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60142558'}, 'ce:surname': 'Hoonpongsimanont', '@auid': '24337681400', 'author-url': 'https://api.elsevier.com/content/author/author_id/24337681400', 'ce:indexed-name': 'Hoonpongsimanont W.'}]",10.5116/ijme.5ba0.a584
11,,,Journey to the bottom of the sea: Searching for ingredients that may have sparked life on earth,"[{'ce:given-name': 'Chawalit', 'preferred-name': {'ce:given-name': 'Chawalit', 'ce:initials': 'C.', 'ce:surname': 'Charoenpong', 'ce:indexed-name': 'Charoenpong C.'}, '@seq': '1', 'ce:initials': 'C.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Charoenpong', '@auid': '56180482700', 'author-url': 'https://api.elsevier.com/content/author/author_id/56180482700', 'ce:indexed-name': 'Charoenpong C.'}]",
12,225.0,1.0,China Studies In South And Southeast Asia: Between Pro-china And Objectivism,"[{'ce:given-name': 'Chih-Yu', 'preferred-name': {'ce:given-name': 'Chih Yu', 'ce:initials': 'C.Y.', 'ce:surname': 'Shih', 'ce:indexed-name': 'Shih C.Y.'}, '@seq': '1', 'ce:initials': 'C.-Y.', '@_fa': 'true', 'affiliation': {'@id': '60005429', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60005429'}, 'ce:surname': 'Shih', '@auid': '7402427568', 'author-url': 'https://api.elsevier.com/content/author/author_id/7402427568', 'ce:indexed-name': 'Shih C.-Y.'}]",
13,0.0,0.0,Preface,"[{'ce:given-name': 'Sarawut', 'preferred-name': {'ce:given-name': 'Sarawut', 'ce:initials': 'S.', 'ce:surname': 'Rimdusit', 'ce:indexed-name': 'Rimdusit S.'}, '@seq': '1', 'ce:initials': 'S.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Rimdusit', '@auid': '8581396300', 'author-url': 'https://api.elsevier.com/content/author/author_id/8581396300', 'ce:indexed-name': 'Rimdusit S.'}]",
14,,,Message from General Chair,"[{'ce:given-name': 'Chidchanok', 'preferred-name': {'ce:given-name': 'Chidchanok', 'ce:initials': 'C.', 'ce:surname': 'Lursinsap', 'ce:indexed-name': 'Lursinsap C.'}, '@seq': '1', 'ce:initials': 'C.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:degrees': 'Prof. Dr.', 'ce:surname': 'Lursinsap', '@auid': '55396044200', 'author-url': 'https://api.elsevier.com/content/author/author_id/55396044200', 'ce:indexed-name': 'Lursinsap C.'}]",10.1109/KST.2018.8426097
15,,,Message from Technical Program Chair,"[{'ce:given-name': 'Kosin', 'preferred-name': {'ce:given-name': 'Kosin', 'ce:initials': 'K.', 'ce:surname': 'Chamnongthai', 'ce:indexed-name': 'Chamnongthai K.'}, '@seq': '1', 'ce:initials': 'K.', '@_fa': 'true', 'affiliation': {'@id': '60008786', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60008786'}, 'ce:surname': 'Chamnongthai', '@auid': '57202765861', 'author-url': 'https://api.elsevier.com/content/author/author_id/57202765861', 'ce:indexed-name': 'Chamnongthai K.'}]",10.1109/KST.2018.8426097
16,,,Endocardial Ablation Approach for Brugada Syndrome,"[{'ce:given-name': 'Koonlawee', 'preferred-name': {'ce:given-name': 'Koonlawee', 'ce:initials': 'K.', 'ce:surname': 'Nademanee', 'ce:indexed-name': 'Nademanee K.'}, '@seq': '1', 'ce:initials': 'K.', '@_fa': 'true', 'affiliation': [{'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, {'@id': '114407316', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/114407316'}], 'ce:surname': 'Nademanee', '@auid': '7005913795', 'author-url': 'https://api.elsevier.com/content/author/author_id/7005913795', 'ce:indexed-name': 'Nademanee K.'}]",10.1161/CIRCEP.118.006675
17,0.0,1.0,Tenofovir versus placebo to prevent perinatal transmission of hepatitis B,"[{'ce:given-name': 'Gonzague', 'preferred-name': {'ce:given-name': 'Gonzague', 'ce:initials': 'G.', 'ce:surname': 'Jourdain', 'ce:indexed-name': 'Jourdain G.'}, '@seq': '1', 'ce:initials': 'G.', '@_fa': 'true', 'affiliation': [{'@id': '100610420', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/100610420'}, {'@id': '60000881', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60000881'}, {'@id': '60029929', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60029929'}], 'ce:surname': 'Jourdain', '@auid': '26642977900', 'author-url': 'https://api.elsevier.com/content/author/author_id/26642977900', 'ce:indexed-name': 'Jourdain G.'}]",10.1097/OGX.0000000000000592
18,28.0,21.0,Why Cochrane should prioritise sharing data,"[{'ce:given-name': 'Farhad', 'preferred-name': {'ce:given-name': 'Farhad', 'ce:initials': 'F.', 'ce:surname': 'Shokraneh', 'ce:indexed-name': 'Shokraneh F.'}, '@seq': '1', 'ce:initials': 'F.', '@_fa': 'true', 'affiliation': {'@id': '60015138', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60015138'}, 'ce:surname': 'Shokraneh', '@auid': '36146063000', 'author-url': 'https://api.elsevier.com/content/author/author_id/36146063000', 'ce:indexed-name': 'Shokraneh F.'}]",10.1136/bmj.k3229
19,0.0,0.0,"Retraction notice to “The solubility of maleic acid in various inorganic salts and organic solvents: Thermodynamics model and parameters” [Fluid Phase Equilibria volume 450, 2018 75–85](S0378381217302807)(10.1016/j.fluid.2017.07.012)","[{'ce:given-name': 'Krirkratthawit', 'preferred-name': {'ce:given-name': 'Krirkratthawit', 'ce:initials': 'K.', 'ce:surname': 'Wongkaew', 'ce:indexed-name': 'Wongkaew K.'}, '@seq': '1', 'ce:initials': 'K.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Wongkaew', '@auid': '55544801800', 'author-url': 'https://api.elsevier.com/content/author/author_id/55544801800', 'ce:indexed-name': 'Wongkaew K.'}]",10.1016/j.fluid.2018.04.005
20,0.0,2.0,International relations as a discipline in Thailand: Theory and sub-fields,"[{'ce:given-name': 'Chanintira', 'preferred-name': {'ce:given-name': 'Chanintira', 'ce:initials': 'C.', 'ce:surname': 'Na Thalang', 'ce:indexed-name': 'Na Thalang C.'}, '@seq': '1', 'ce:initials': 'C.', '@_fa': 'true', 'affiliation': {'@id': '60012521', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60012521'}, 'ce:surname': 'Na Thalang', '@auid': '8665771500', 'author-url': 'https://api.elsevier.com/content/author/author_id/8665771500', 'ce:indexed-name': 'Na Thalang C.'}]",10.4324/9781351180887
21,0.0,2.0,The long reach of English law: A case of incidental transplantation of the English law concept of vicarious liability into Thailand’s civil and commercial code,"[{'ce:given-name': 'Adam', 'preferred-name': {'ce:given-name': 'Adam', 'ce:initials': 'A.', 'ce:surname': 'Reekie', 'ce:indexed-name': 'Reekie A.'}, '@seq': '1', 'ce:initials': 'A.', '@_fa': 'true', 'affiliation': {'@id': '60012521', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60012521'}, 'ce:surname': 'Reekie', '@auid': '57193706067', 'author-url': 'https://api.elsevier.com/content/author/author_id/57193706067', 'ce:indexed-name': 'Reekie A.'}]",10.1080/2049677X.2018.1534781
22,0.0,0.0,"Erratum to: Optimal design of reinforced concrete cantilever retaining walls considering the requirement of slope stability (KSCE Journal of Civil Engineering, (2017) 21, 7, (2673-2682), 10.1007/s12205-017-1627-1)","[{'ce:given-name': 'Boonchai', 'preferred-name': {'ce:given-name': 'Boonchai', 'ce:initials': 'B.', 'ce:surname': 'Ukritchon', 'ce:indexed-name': 'Ukritchon B.'}, '@seq': '1', 'ce:initials': 'B.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Ukritchon', '@auid': '6507527284', 'author-url': 'https://api.elsevier.com/content/author/author_id/6507527284', 'ce:indexed-name': 'Ukritchon B.'}]",10.1007/s12205-018-2627-5
23,,,"Erratum to: Measurement of b hadron lifetimes in pp collisions at √ s=8 Tev (The European Physical Journal C, (2018), 78, 6, (457), 10.1140/epjc/s10052-018-5929-3)","[{'preferred-name': {'ce:given-name': 'A. M.', 'ce:initials': 'A.M.', 'ce:surname': 'Sirunyan', 'ce:indexed-name': 'Sirunyan A.M.'}, '@seq': '1', 'ce:initials': 'A.M.', '@_fa': 'true', 'affiliation': {'@id': '60070862', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60070862'}, 'ce:surname': 'Sirunyan', '@auid': '16239550900', 'author-url': 'https://api.elsevier.com/content/author/author_id/16239550900', 'ce:indexed-name': 'Sirunyan A.M.'}]",10.1140/epjc/s10052-018-6014-7
24,87.0,90.0,Measurement of differential cross sections for the production of top quark pairs and of additional jets in lepton + jets events from p p collisions at s = 13 TeV,"[{'preferred-name': {'ce:given-name': 'A. M.', 'ce:initials': 'A.M.', 'ce:surname': 'Sirunyan', 'ce:indexed-name': 'Sirunyan A.M.'}, '@seq': '1', 'ce:initials': 'A.M.', '@_fa': 'true', 'affiliation': {'@id': '60070862', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60070862'}, 'ce:surname': 'Sirunyan', '@auid': '16239550900', 'author-url': 'https://api.elsevier.com/content/author/author_id/16239550900', 'ce:indexed-name': 'Sirunyan A.M.'}]",10.1103/PhysRevD.97.112003
25,0.0,1.0,Measuring the torque on the terminal end of an archwire,"[{'ce:given-name': 'Chidsanu', 'preferred-name': {'ce:given-name': 'Chidsanu', 'ce:initials': 'C.', 'ce:surname': 'Changsiripun', 'ce:indexed-name': 'Changsiripun C.'}, '@seq': '1', 'ce:initials': 'C.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Changsiripun', '@auid': '26422838800', 'author-url': 'https://api.elsevier.com/content/author/author_id/26422838800', 'ce:indexed-name': 'Changsiripun C.'}]",
26,0.0,0.0,ECG quiz,"[{'ce:given-name': 'Chollada', 'preferred-name': {'ce:given-name': 'Chollada', 'ce:initials': 'C.', 'ce:surname': 'Buranakarl', 'ce:indexed-name': 'Buranakarl C.'}, '@seq': '1', 'ce:initials': 'C.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Buranakarl', '@auid': '6603136718', 'author-url': 'https://api.elsevier.com/content/author/author_id/6603136718', 'ce:indexed-name': 'Buranakarl C.'}]",
27,,,"Erratum to: Measurements of the Z→4ℓ branching fraction, and constraints on anomalous triple gauge couplings at s=13TeV (The European Physical Journal C, (2018), 78, 2, (165), 10.1140/epjc/s10052-018-5567-9)","[{'preferred-name': {'ce:given-name': 'A. M.', 'ce:initials': 'A.M.', 'ce:surname': 'Sirunyan', 'ce:indexed-name': 'Sirunyan A.M.'}, '@seq': '1', 'ce:initials': 'A.M.', '@_fa': 'true', 'affiliation': {'@id': '60070862', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60070862'}, 'ce:surname': 'Sirunyan', '@auid': '16239550900', 'author-url': 'https://api.elsevier.com/content/author/author_id/16239550900', 'ce:indexed-name': 'Sirunyan A.M.'}]",10.1140/epjc/s10052-018-5769-1
28,,,Gastrointestinal: Splenic abscesses-related gastrosplenic fistula: Unusual complication of melioidosis,"[{'preferred-name': {'ce:given-name': 'J.', 'ce:initials': 'J.', 'ce:surname': 'Maytapa', 'ce:indexed-name': 'Maytapa J.'}, '@seq': '1', 'ce:initials': 'J.', '@_fa': 'true', 'affiliation': {'@id': '60022183', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60022183'}, 'ce:surname': 'Maytapa', '@auid': '57201403220', 'author-url': 'https://api.elsevier.com/content/author/author_id/57201403220', 'ce:indexed-name': 'Maytapa J.'}]",10.1111/jgh.14095
29,,,"Correction to: Cypripedin, a phenanthrenequinone from Dendrobium densiflorum, sensitizes non-small cell lung cancer H460 cells to cisplatin-mediated apoptosis (Journal of Natural Medicines, (2018), 72, 2, (503-513), 10.1007/s11418-018-1176-z)","[{'ce:given-name': 'Onsurang', 'preferred-name': {'ce:given-name': 'Onsurang', 'ce:initials': 'O.', 'ce:surname': 'Wattanathamsan', 'ce:indexed-name': 'Wattanathamsan O.'}, '@seq': '1', 'ce:initials': 'O.', '@_fa': 'true', 'affiliation': [{'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}], 'ce:surname': 'Wattanathamsan', '@auid': '57200605376', 'author-url': 'https://api.elsevier.com/content/author/author_id/57200605376', 'ce:indexed-name': 'Wattanathamsan O.'}]",10.1007/s11418-018-1200-3
30,,,Preface,"[{'ce:given-name': 'Orawan', 'preferred-name': {'ce:given-name': 'Orawan', 'ce:initials': 'O.', 'ce:surname': 'Siriratpiriya', 'ce:indexed-name': 'Siriratpiriya O.'}, '@seq': '1', 'ce:initials': 'O.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Siriratpiriya', '@auid': '55753230100', 'author-url': 'https://api.elsevier.com/content/author/author_id/55753230100', 'ce:indexed-name': 'Siriratpiriya O.'}]",10.1088/1755-1315/150/1/011001
31,26.0,11.0,Immediate effects of temporary bite-raising with light-cured orthodontic band cement on the electromyographic response of masticatory muscles,"[{'ce:given-name': 'Darin', 'preferred-name': {'ce:given-name': 'Darin', 'ce:initials': 'D.', 'ce:surname': 'Pativetpinyo', 'ce:indexed-name': 'Pativetpinyo D.'}, '@seq': '1', 'ce:initials': 'D.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Pativetpinyo', '@auid': '57202279024', 'author-url': 'https://api.elsevier.com/content/author/author_id/57202279024', 'ce:indexed-name': 'Pativetpinyo D.'}]",10.1590/1678-7757-2017-0214
32,6.0,1.0,The Authors Reply,"[{'ce:given-name': 'Songphol', 'preferred-name': {'ce:given-name': 'Songphol', 'ce:initials': 'S.', 'ce:surname': 'Malakorn', 'ce:indexed-name': 'Malakorn S.'}, '@seq': '1', 'ce:initials': 'S.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Malakorn', '@auid': '55471867700', 'author-url': 'https://api.elsevier.com/content/author/author_id/55471867700', 'ce:indexed-name': 'Malakorn S.'}]",10.1097/DCR.0000000000001054
33,0.0,0.0,"Developing academic cancer immunotherapy in Asia-Lessons, challenges, and a vision for Thailand","[{'ce:given-name': 'Nattiya', 'preferred-name': {'ce:given-name': 'Nattiya', 'ce:initials': 'N.', 'ce:surname': 'Hirankarn', 'ce:indexed-name': 'Hirankarn N.'}, '@seq': '1', 'ce:initials': 'N.', '@_fa': 'true', 'affiliation': {'@id': '60002620', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60002620'}, 'ce:degrees': 'MD, PhD', 'ce:surname': 'Hirankarn', '@auid': '12783320200', 'author-url': 'https://api.elsevier.com/content/author/author_id/12783320200', 'ce:indexed-name': 'Hirankarn N.'}]",10.21037/cco.2018.03.01
34,0.0,0.0,ECG quiz,"[{'ce:given-name': 'Chollada', 'preferred-name': {'ce:given-name': 'Chollada', 'ce:initials': 'C.', 'ce:surname': 'Buranakarl', 'ce:indexed-name': 'Buranakarl C.'}, '@seq': '1', 'ce:initials': 'C.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Buranakarl', '@auid': '6603136718', 'author-url': 'https://api.elsevier.com/content/author/author_id/6603136718', 'ce:indexed-name': 'Buranakarl C.'}]",
35,0.0,0.0,Editorial introduction to the special issue: Aqua species immunity,"[{'ce:given-name': 'Anchalee', 'preferred-name': {'ce:given-name': 'Anchalee', 'ce:initials': 'A.', 'ce:surname': 'Tassanakajon', 'ce:indexed-name': 'Tassanakajon A.'}, '@seq': '1', 'ce:initials': 'A.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Tassanakajon', '@auid': '6603935274', 'author-url': 'https://api.elsevier.com/content/author/author_id/6603935274', 'ce:indexed-name': 'Tassanakajon A.'}]",10.1016/j.dci.2017.12.006
36,0.0,0.0,Cystic parathyroid as a cause of hypercalcemia Lesión quística paratiroidea como causa de hipercalcemia,"[{'ce:given-name': 'Pakanit', 'preferred-name': {'ce:given-name': 'Pakanit', 'ce:initials': 'P.', 'ce:surname': 'Kittipinyovath', 'ce:indexed-name': 'Kittipinyovath P.'}, '@seq': '1', 'ce:initials': 'P.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Kittipinyovath', '@auid': '15519239500', 'author-url': 'https://api.elsevier.com/content/author/author_id/15519239500', 'ce:indexed-name': 'Kittipinyovath P.'}]",10.1016/j.ciresp.2017.06.003
37,0.0,0.0,Erratum: Addendum: A Comparison of Angular Values of the Pelvic Limb with Normal and Medial Patellar Luxation Stifles in Chihuahua Dogs Using Radiography and Computed Tomography (Veterinary and comparative orthopaedics and traumatology : V.C.O.T (2018) 31 2 (114-123)),"[{'ce:given-name': 'Thitaporn', 'preferred-name': {'ce:given-name': 'Thitaporn', 'ce:initials': 'T.', 'ce:surname': 'Phetkaew', 'ce:indexed-name': 'Phetkaew T.'}, '@seq': '1', 'ce:initials': 'T.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Phetkaew', '@auid': '57445146100', 'author-url': 'https://api.elsevier.com/content/author/author_id/57445146100', 'ce:indexed-name': 'Phetkaew T.'}]",10.1055/s-0038-1667359
38,0.0,2.0,Driving a Firm’s Agility and Success of Product Innovation Through Organizational Behavior: An Abstract,"[{'ce:given-name': 'Wilert', 'preferred-name': {'ce:given-name': 'Wilert', 'ce:initials': 'W.', 'ce:surname': 'Puriwat', 'ce:indexed-name': 'Puriwat W.'}, '@seq': '1', 'ce:initials': 'W.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Puriwat', '@auid': '57188838329', 'author-url': 'https://api.elsevier.com/content/author/author_id/57188838329', 'ce:indexed-name': 'Puriwat W.'}]",10.1007/978-3-319-68750-6_57
39,42.0,50.0,Fitting rotation curves of galaxies by de Rham-Gabadadze-Tolley massive gravity,"[{'ce:given-name': 'Sirachak', 'preferred-name': {'ce:given-name': 'Sirachak', 'ce:initials': 'S.', 'ce:surname': 'Panpanich', 'ce:indexed-name': 'Panpanich S.'}, '@seq': '1', 'ce:initials': 'S.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Panpanich', '@auid': '55243413700', 'author-url': 'https://api.elsevier.com/content/author/author_id/55243413700', 'ce:indexed-name': 'Panpanich S.'}]",
40,,,Comparative study of methane hydrate formation and dissociation with hollow silica and activated carbon,"[{'preferred-name': {'ce:given-name': 'S.', 'ce:initials': 'S.', 'ce:surname': 'Runcrussarocc', 'ce:indexed-name': 'Runcrussarocc S.'}, '@seq': '1', 'ce:initials': 'S.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Runcrussarocc', '@auid': '57216861792', 'author-url': 'https://api.elsevier.com/content/author/author_id/57216861792', 'ce:indexed-name': 'Runcrussarocc S.'}]",
